PLAYER,TEAM,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
Jeff Green,WAS ,32,76,74,44.4%,1.6,4.0,38.9,56.3,3.7%,0.2,0.3,52.0,40.8%,1.4,3.7,37.8
Jeff Teague,MIN ,31,42,27,9.6%,0.4,0.9,37.5,56.3,0.0%,0.0,0.0,-,9.6%,0.4,0.9,37.5
Jemerrio Jones,LAL ,24,6,4,25.0%,0.3,1.3,25.0,37.5,0.0%,0.0,0.0,-,25.0%,0.3,1.3,25.0
Jerami Grant,OKC ,25,79,77,39.7%,1.7,4.1,40.6,58.2,4.4%,0.2,0.5,47.2,35.3%,1.4,3.6,39.7
Jeremy Lamb,CHA ,27,79,76,24.5%,1.2,3.0,40.0,57.7,1.9%,0.1,0.2,57.9,22.6%,1.1,2.8,38.5
Jeremy Lin,TOR ,30,74,59,22.0%,0.5,1.6,28.6,42.4,0.9%,0.0,0.1,20.0,21.1%,0.5,1.5,28.9
Jerian Grant,ORL ,26,58,43,35.3%,0.5,1.3,40.8,60.5,0.5%,0.0,0.0,100,34.9%,0.5,1.3,40.0
Jerome Robinson,LAC ,22,33,27,48.2%,0.6,1.6,34.0,46.2,6.4%,0.1,0.2,71.4,41.8%,0.4,1.4,28.3
Jerryd Bayless,MIN ,30,34,27,28.3%,0.7,1.9,33.8,49.2,1.7%,0.1,0.1,50.0,26.5%,0.6,1.8,32.8
Jevon Carter,MEM ,23,39,27,33.0%,0.5,1.6,32.8,48.4,2.2%,0.0,0.1,25.0,30.8%,0.5,1.5,33.3
Jimmer Fredette,PHX ,30,6,3,27.6%,0.0,1.3,0.0,0.0,0.0%,0.0,0.0,-,27.6%,0.0,1.3,0.0
Jimmy Butler,PHI ,29,64,54,15.6%,0.8,2.2,38.4,52.5,3.6%,0.2,0.5,43.8,12.0%,0.6,1.7,36.8
Joakim Noah,MEM ,34,42,13,6.6%,0.1,0.3,21.4,21.4,6.1%,0.1,0.3,23.1,0.5%,0.0,0.0,0.0
Jodie Meeks,TOR ,31,8,7,48.7%,0.9,2.4,36.8,55.3,5.1%,0.0,0.3,0.0,43.6%,0.9,2.1,41.2
Joe Harris,BKN ,27,76,76,44.0%,2.1,4.3,48.9,72.5,0.9%,0.1,0.1,85.7,43.0%,2.0,4.2,48.1
Joe Ingles,UTA ,31,81,79,40.9%,1.6,3.9,39.8,59.6,0.6%,0.0,0.1,20.0,40.3%,1.6,3.9,40.1
Joel Embiid,PHI ,25,63,61,20.9%,1.2,3.9,31.3,44.5,3.1%,0.2,0.6,32.4,17.7%,1.0,3.3,31.1
John Collins,ATL ,21,61,55,21.4%,1.0,2.9,34.3,49.4,3.0%,0.1,0.4,28.0,18.4%,0.9,2.5,35.3
John Henson,CLE ,28,14,13,43.3%,0.8,2.1,37.9,56.9,0.0%,0.0,0.0,-,43.3%,0.8,2.1,37.9
John Jenkins,NYK ,28,26,21,47.6%,0.7,1.9,36.0,51.0,3.8%,0.1,0.1,75.0,43.8%,0.6,1.8,32.6
John Wall,WAS ,28,32,32,18.8%,1.2,3.3,37.5,55.8,0.4%,0.0,0.1,50.0,18.5%,1.2,3.2,37.3
Johnathan Motley,LAC ,24,22,3,8.2%,0.1,0.3,16.7,16.7,4.1%,0.1,0.1,33.3,4.1%,0.0,0.1,0.0
Johnathan Williams,LAL ,24,24,5,5.6%,0.1,0.3,33.3,33.3,4.7%,0.1,0.2,40.0,0.9%,0.0,0.0,0.0
Jon Leuer,DET ,30,41,23,30.7%,0.3,0.8,34.3,35.7,20.2%,0.3,0.6,47.8,10.5%,0.0,0.3,8.3
Jonah Bolden,PHI ,23,43,37,58.8%,0.8,2.2,36.2,53.2,2.5%,0.1,0.1,50.0,56.3%,0.7,2.1,35.6
Jonas Jerebko,GSW ,32,73,66,58.4%,1.2,2.8,41.3,57.3,8.5%,0.3,0.4,63.3,49.9%,0.9,2.4,37.5
Jonas Valanciunas,MEM ,27,49,40,14.2%,0.6,1.6,35.5,44.1,5.8%,0.3,0.6,45.2,8.4%,0.3,0.9,28.9
Jonathan Isaac,ORL ,21,73,70,45.1%,1.2,3.7,32.6,47.4,4.3%,0.1,0.4,30.8,40.7%,1.1,3.3,32.8
Jonathon Simmons,PHI ,29,54,36,20.1%,0.3,1.3,26.5,39.0,0.6%,0.0,0.0,50.0,19.5%,0.3,1.2,25.8
Jordan Bell,GSW ,24,68,24,15.3%,0.1,0.4,27.6,27.6,14.8%,0.1,0.4,28.6,0.5%,0.0,0.0,0.0
Jordan Clarkson,CLE ,27,81,78,22.8%,1.3,3.3,38.0,54.3,2.4%,0.2,0.3,50.0,20.4%,1.1,2.9,36.6
Jordan Loyd,TOR ,25,12,3,22.2%,0.1,0.3,25.0,37.5,0.0%,0.0,0.0,-,22.2%,0.1,0.3,25.0
Jordan McRae,WAS ,28,27,12,15.9%,0.2,0.7,25.0,37.5,0.8%,0.0,0.0,0.0,15.1%,0.2,0.7,26.3
Jordan Sibert,ATL ,26,1,1,100%,1.0,1.0,100,150.0,0.0%,0.0,0.0,-,100%,1.0,1.0,100
Jose Calderon,DET ,37,49,26,32.5%,0.2,0.8,28.2,42.3,0.0%,0.0,0.0,-,32.5%,0.2,0.8,28.2
