PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Dennis Schroder,OKC,25,5,1,4,46.8,21.4,7.8,17.1,45.5,1.9,6.2,30.0,4.0,5.6,72.2,0.6,4.3,5.0,5.3,1.9,1.2,0.0,3.4,37.2,0,0,-6.5
Deonte Burton,OKC,25,3,1,2,44.8,20.0,10.0,50.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,44.0,0,0,10.0
Derrick Favors,UTA,27,5,1,4,49.1,28.1,11.0,17.1,63.9,0.0,1.4,0.0,6.2,9.0,68.4,7.1,10.5,17.6,1.9,2.4,1.9,4.3,5.7,68.3,2,0,1.9
Derrick White,SAS,24,7,3,4,51.3,28.5,11.0,20.2,54.7,1.3,4.6,29.4,5.1,7.0,73.1,0.3,5.4,5.6,5.6,4.0,1.3,1.3,4.6,47.8,0,0,-2.2
Domantas Sabonis,IND,23,4,0,4,50.8,18.0,6.3,15.3,41.4,0.5,2.1,25.0,4.8,7.4,64.3,3.7,11.6,15.3,8.5,2.6,1.6,0.5,6.3,52.8,0,0,-17.5
Donatas Motiejunas,SAS,28,5,2,3,51.4,36.1,16.7,27.8,60.0,0.0,2.8,0.0,2.8,5.6,50.0,8.3,11.1,19.4,5.6,0.0,0.0,0.0,2.8,67.8,0,0,2.8
Donovan Mitchell,UTA,22,5,1,4,49.1,27.2,9.2,28.5,32.1,2.8,10.9,25.6,6.1,8.4,72.7,1.8,4.6,6.4,4.1,5.3,2.0,0.3,3.8,42.5,0,0,-9.7
Doug McDermott,IND,27,3,0,3,49.5,10.2,3.4,16.9,20.0,0.0,11.9,0.0,3.4,6.8,50.0,5.1,3.4,8.5,6.8,0.0,0.0,1.7,3.4,35.6,0,0,-8.5
Draymond Green,GSW,29,22,14,8,48.0,16.5,6.4,12.9,49.8,0.7,3.2,22.8,2.9,4.0,71.8,2.3,10.3,12.6,10.5,4.7,1.8,1.9,4.8,53.7,14,6,7.2
Dzanan Musa,BKN,20,2,0,2,39.5,10.8,5.4,8.1,66.7,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,5.4,0.0,10.8,18.9,0,0,37.8
Ed Davis,BKN,30,3,1,2,49.2,19.3,8.4,12.0,70.0,0.0,0.0,0.0,2.4,2.4,100,4.8,18.1,22.9,2.4,0.0,0.0,1.2,10.8,54.0,1,0,25.3
