PLAYER,TEAM,AGE,GP,W,L,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS
Davis Bertans,SAS,26,5,2,3,79,110.2,3.7,9.6,12.9,0.0,0.0,0.5,20.0,3.2,6.9,15.5,34.7,0.050
DeMar DeRozan,SAS,29,7,3,4,251,117.8,5.3,14.8,22.0,1.1,33.3,0.1,4.0,7.9,12.2,9.3,35.3,-0.035
DeMarcus Cousins,GSW,28,8,3,5,133,104.7,8.1,22.1,33.0,1.4,22.7,1.6,28.6,11.6,10.0,13.5,31.4,0.110
DeMarre Carroll,BKN,32,5,1,4,119,116.7,4.2,11.4,20.0,1.2,25.0,0.0,0.0,12.4,12.7,9.4,44.0,-0.023
Dennis Schroder,OKC,25,5,1,4,151,107.5,3.3,9.7,15.2,1.0,14.3,0.0,0.0,12.2,13.1,6.7,36.8,0.080
Deonte Burton,OKC,25,3,1,2,4,40.0,8.0,16.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.868
Derrick Favors,UTA,27,5,1,4,103,96.7,7.7,19.8,27.8,1.4,19.0,3.1,81.8,11.9,9.4,5.6,30.7,0.198
Derrick White,SAS,24,7,3,4,191,112.7,3.8,10.4,14.4,0.9,26.3,0.9,25.0,7.7,10.9,7.7,35.5,0.022
Domantas Sabonis,IND,23,4,0,4,96,104.8,8.2,23.7,35.5,1.1,21.4,0.4,20.0,9.4,10.9,11.2,20.2,0.105
Donatas Motiejunas,SAS,28,5,2,3,19,91.4,7.8,23.5,28.6,0.0,0.0,0.0,0.0,3.9,0.0,5.8,27.2,0.248
Donovan Mitchell,UTA,22,5,1,4,193,110.6,3.4,8.9,12.9,1.5,19.5,0.2,4.8,14.0,7.8,8.4,30.9,0.044
Doug McDermott,IND,27,3,0,3,29,94.9,2.5,5.7,8.7,0.0,0.0,1.2,100,7.4,12.3,12.3,22.2,0.219
Draymond Green,GSW,29,22,14,8,850,109.6,7.7,20.5,30.4,1.4,23.9,1.4,31.4,12.1,9.8,10.4,27.3,0.056
Dzanan Musa,BKN,20,2,0,2,15,91.9,0.0,0.0,0.0,4.9,40.0,0.0,0.0,12.3,7.4,12.3,34.4,0.287
Ed Davis,BKN,30,3,1,2,41,98.8,13.2,26.3,50.0,0.0,0.0,0.9,50.0,8.8,18.5,7.9,30.0,0.163
Edmond Sumner,IND,23,1,0,1,2,0.0,45.0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.182
Ekpe Udoh,UTA,32,2,0,2,6,131.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,11.8,29.4,47.1,-0.231
Enes Kanter,POR,27,16,8,8,461,109.6,8.0,21.2,31.5,0.9,16.4,0.7,17.6,11.8,10.4,9.6,35.6,0.056
Eric Bledsoe,MIL,29,15,10,5,423,97.0,3.1,7.2,9.8,1.4,23.2,0.5,10.9,9.1,8.1,9.6,26.4,0.198
Eric Gordon,HOU,30,11,6,5,410,109.1,2.0,5.4,8.4,0.6,9.9,1.0,26.2,16.3,10.2,10.0,35.0,0.061
Eric Moreland,TOR,27,8,6,2,28,101.5,15.3,31.6,48.0,0.0,0.0,0.0,0.0,11.5,12.8,10.2,40.9,0.171
Ersan Ilyasova,MIL,32,15,10,5,272,99.5,6.7,16.5,21.4,1.3,30.3,0.8,18.2,10.2,7.1,9.1,28.0,0.169
Evan Fournier,ORL,26,5,1,4,175,119.9,2.7,8.2,11.8,1.4,30.4,0.0,0.0,13.2,8.2,9.7,39.5,-0.056
Evan Turner,POR,30,16,8,8,245,106.4,8.7,21.3,33.9,0.4,11.1,0.4,10.7,10.9,14.7,8.4,32.3,0.091
Fred VanVleet,TOR,25,24,16,8,592,102.9,2.0,5.2,8.2,1.1,20.2,0.4,10.2,9.2,10.5,9.3,28.9,0.129
Furkan Korkmaz,PHI,21,4,3,1,36,120.5,6.1,16.7,21.4,0.0,0.0,1.0,20.0,10.1,2.0,22.2,42.5,-0.071
Garrett Temple,LAC,33,6,2,4,63,110.4,3.4,7.7,14.0,1.7,27.3,0.6,20.0,12.6,11.5,10.9,33.2,0.050
Gary Clark,HOU,24,2,1,1,4,122.2,9.7,100,100,0.0,0.0,0.0,0.0,0.0,0.0,19.3,57.9,-0.099
Gary Harris,DEN,24,14,7,7,517,108.6,3.4,8.9,13.5,0.8,19.7,0.6,16.7,7.4,10.4,6.9,32.8,0.066
George Hill,MIL,33,15,10,5,395,101.2,3.5,8.6,11.7,1.1,21.4,0.4,8.2,10.5,7.4,8.7,25.4,0.149
Georges Niang,UTA,26,5,1,4,55,95.0,9.2,21.9,30.4,0.7,12.5,0.7,16.7,6.6,11.8,4.6,27.6,0.228
Gerald Green,HOU,33,11,6,5,97,104.9,4.5,12.1,18.8,1.1,16.7,1.1,25.0,7.4,8.2,7.4,28.9,0.113
Giannis Antetokounmpo,MIL,24,15,10,5,514,99.2,10.3,24.6,33.1,1.3,23.4,2.1,44.1,9.4,7.8,9.2,25.8,0.173
Glenn Robinson III,DET,25,3,0,3,36,114.5,5.1,13.9,17.9,2.0,50.0,0.0,0.0,3.0,7.1,15.2,38.4,0.002
Gordon Hayward,BOS,29,9,5,4,267,103.2,4.5,11.1,15.3,0.8,19.4,0.4,17.6,12.6,9.5,13.0,30.8,0.125
Grayson Allen,UTA,23,2,0,2,14,100.0,2.6,7.7,11.1,0.0,0.0,0.0,0.0,5.1,12.8,17.9,30.7,0.178
Greg Monroe,PHI,29,10,6,4,90,110.8,6.8,18.7,27.4,2.0,27.8,1.2,30.0,16.1,8.4,22.9,41.0,0.047
Guerschon Yabusele,BOS,23,4,2,2,14,91.2,2.6,6.3,9.1,0.0,0.0,2.6,50.0,10.3,10.3,15.5,36.1,0.299
Iman Shumpert,HOU,29,8,4,4,109,110.6,3.6,8.9,15.5,0.3,5.6,0.0,0.0,11.5,11.2,14.1,32.9,0.046
