PLAYER,GP,W,L,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE
Jae Crowder,80,52,28,26,107.9,106.9,1.0,10.9,3.2,11.5,7.4,8.1,17.2,99.83
Jahlil Okafor,28,7,21,13,92.3,116.6,-24.3,6.5,6.6,21.3,13.7,11.4,22.4,97.05
Jake Layman,35,22,13,5,97.6,109.7,-12.1,17.1,3.0,8.8,5.9,7.8,14.9,96.19
Jakob Poeltl,82,59,23,19,111.0,103.3,7.6,10.0,12.3,17.3,14.8,14.9,14.8,99.32
Jalen Jones,16,3,13,11,108.2,118.8,-10.6,4.6,7.4,18.4,12.2,8.0,20.0,96.59
Jamal Crawford,80,45,35,21,108.2,112.9,-4.7,17.3,1.5,5.7,3.5,8.9,23.9,98.32
Jamal Murray,81,46,35,32,113.0,109.7,3.3,16.9,3.7,9.7,6.7,10.6,23.1,98.37
Jameel Warney,3,1,2,9,108.2,114.5,-6.3,0.0,15.4,20.8,18.0,6.6,25.4,92.28
Jameer Nelson,50,25,25,20,104.3,108.5,-4.1,35.9,1.5,10.0,5.8,13.4,14.2,99.83
Jamel Artis,15,4,11,19,101.3,105.1,-3.9,16.3,1.5,13.5,7.3,7.3,14.5,97.88
James Ennis III,72,25,47,22,102.5,107.0,-4.5,12.6,5.2,11.0,8.0,10.0,13.8,97.28
James Harden,72,59,13,35,114.6,104.7,9.9,23.2,1.9,15.3,8.8,11.6,36.1,99.69
James Johnson,73,37,36,27,105.4,104.9,0.5,25.3,3.6,16.8,10.3,12.7,19.1,98.38
James Michael McAdoo,3,1,2,6,104.7,101.2,3.5,0.0,0.0,13.3,6.1,11.3,22.1,102.58
James Webb III,10,1,9,12,99.0,116.0,-17.0,12.5,6.6,14.4,10.3,12.5,10.2,97.78
James Young,6,4,2,10,95.7,110.2,-14.6,10.2,0.0,3.6,1.8,5.1,13.7,93.63
Jamil Wilson,15,6,9,18,105.2,104.1,1.0,9.9,1.2,11.4,6.2,7.9,14.8,98.11
Jared Dudley,48,7,41,14,105.9,106.7,-0.8,32.0,1.3,14.8,7.7,11.5,10.4,101.16
Jarell Eddie,3,1,2,3,104.7,101.4,3.2,0.0,0.0,16.7,6.3,0.0,10.4,94.59
Jarell Martin,73,21,52,23,100.8,107.5,-6.8,10.3,6.5,16.0,11.0,12.2,17.2,97.33
Jarrett Allen,72,25,47,20,104.0,107.7,-3.6,8.3,10.7,17.8,14.2,13.8,16.5,100.28
Jarrett Jack,62,26,36,25,106.7,108.2,-1.5,37.1,1.6,12.0,6.9,12.2,16.7,99.17
Jason Smith,33,15,18,9,98.0,111.6,-13.5,9.1,6.5,13.5,9.9,10.4,21.5,101.26
Jason Terry,51,27,24,16,107.6,105.8,1.8,24.4,0.7,6.4,3.5,10.3,10.0,98.96
Jawun Evans,48,24,24,16,106.5,105.0,1.5,23.9,1.3,10.8,6.0,10.5,17.6,102.69
Jaylen Brown,70,47,23,31,107.4,100.3,7.1,10.0,3.5,13.9,8.8,10.8,21.2,98.79
Jaylen Morris,6,2,4,16,87.7,105.4,-17.7,15.6,2.1,14.4,8.3,13.3,16.0,105.93
Jayson Tatum,80,53,27,31,107.0,100.3,6.7,10.8,2.3,15.5,9.1,9.6,19.6,97.94
Jeff Green,78,47,31,23,109.5,105.4,4.1,11.1,3.8,10.9,7.5,8.4,19.4,100.62
Jeff Teague,70,41,29,33,111.2,108.7,2.5,31.4,1.2,9.2,5.2,11.3,20.4,99.39
Jeff Withey,10,2,8,4,108.5,82.4,26.1,0.0,2.6,24.3,13.2,10.6,20.5,100.45
Jerami Grant,81,48,33,20,105.8,105.0,0.8,8.5,5.8,16.2,10.9,8.0,16.5,98.56
Jeremy Evans,1,0,1,5,97.4,142.9,-45.5,0.0,16.7,0.0,8.3,50.0,14.0,105.51
Jeremy Lamb,80,36,44,25,108.1,107.2,0.9,15.5,2.7,15.6,9.1,7.7,22.5,99.75
Jeremy Lin,1,0,1,25,108.9,120.7,-11.8,18.1,0.0,0.0,0.0,13.6,26.1,119.62
Jerian Grant,74,24,50,23,100.7,109.3,-8.6,33.6,1.9,9.3,5.5,8.8,17.7,98.78
Jerryd Bayless,39,21,18,24,102.3,105.7,-3.4,14.2,1.8,7.6,4.7,12.1,15.0,102.85
Jimmy Butler,59,37,22,37,113.3,105.1,8.3,19.1,4.3,12.6,8.4,7.2,25.1,96.92
Joakim Noah,7,1,6,6,85.1,88.9,-3.8,20.2,14.0,21.1,17.3,20.2,16.4,103.14
Jodie Meeks,77,41,36,15,103.6,108.7,-5.1,12.7,1.5,11.8,6.4,6.7,18.9,99.54
Joe Harris,78,27,51,25,104.5,108.4,-3.9,14.5,2.8,11.4,7.1,10.3,16.6,100.87
Joe Ingles,82,48,34,31,106.8,102.3,4.5,30.0,1.1,14.0,7.6,12.2,15.9,97.98
Joe Johnson,55,35,20,22,101.5,105.4,-3.9,16.2,1.3,14.4,7.8,9.6,16.1,97.89
Joe Young,53,28,25,11,101.9,107.4,-5.5,14.8,2.3,10.2,6.2,9.9,17.8,97.45
Joel Bolomboy,6,3,3,6,79.9,98.5,-18.6,0.0,15.8,13.3,14.7,18.8,12.0,97.99
Joel Embiid,63,41,22,30,111.4,99.7,11.7,11.7,8.7,28.9,19.5,13.8,33.9,100.35
Joffrey Lauvergne,55,30,25,10,101.4,107.2,-5.9,14.4,13.6,23.8,18.6,11.6,19.9,99.75
John Collins,74,21,53,24,100.5,107.1,-6.7,11.8,10.8,22.6,16.7,12.7,17.9,100.22
John Henson,76,39,37,26,110.3,105.4,5.0,14.8,9.2,20.8,15.2,10.9,15.1,98.01
John Holland,24,17,7,7,104.9,112.5,-7.5,6.4,4.1,11.9,8.1,10.3,18.6,100.35
John Wall,41,23,18,34,109.1,105.4,3.7,29.7,1.7,9.8,5.8,11.9,28.6,101.09
Johnathan Motley,11,1,10,16,99.9,105.5,-5.5,6.8,7.9,22.6,14.8,8.7,24.4,94.80
Johnny O'Bryant III,36,15,21,11,94.6,104.9,-10.4,6.6,7.2,19.3,12.7,7.1,22.7,100.46
Jon Leuer,8,5,3,17,99.7,96.9,2.8,9.2,5.4,21.0,12.9,12.8,15.9,101.93
Jonas Jerebko,74,45,29,15,107.8,104.2,3.6,9.7,5.3,19.5,12.3,6.2,15.7,96.79
Jonas Valanciunas,77,56,21,22,111.7,106.0,5.8,8.3,12.2,29.1,21.0,11.8,22.5,100.13
Jonathan Gibson,4,2,2,10,114.0,113.0,1.0,13.3,0.0,8.3,4.3,10.0,28.6,104.31
