PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Kurt Thomas,NYK,28,77,45,32,27.6,10.4,4.1,8.0,51.1,0.0,0.0,33.3,2.2,2.7,81.4,2.2,4.5,6.7,0.8,1.3,0.8,0.9,3.7,23.4,9,0,3.8
LaPhonso Ellis,MIN,31,82,47,35,23.7,9.4,3.6,7.8,46.4,0.1,0.3,31.8,2.1,2.6,79.0,2.4,3.6,6.0,1.1,1.3,0.8,0.9,3.5,22.2,7,0,0.2
Lamar Odom,LAC,21,76,30,46,37.2,17.2,6.3,13.8,46.0,1.1,3.3,31.6,3.4,5.1,67.9,1.4,6.3,7.8,5.2,3.5,1.0,1.6,3.1,38.5,24,4,-1.5
Lamond Murray,CLE,28,78,30,48,28.5,12.8,5.0,11.9,42.3,0.8,2.1,37.0,2.0,2.7,73.5,1.3,3.0,4.4,1.6,1.8,1.1,0.3,2.2,22.8,5,0,-2.4
Lari Ketner,IND,24,3,0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,-0.2,0,0,-0.3
Laron Profit,WAS,23,35,5,30,17.3,4.3,1.6,4.1,39.4,0.2,0.7,26.9,0.9,1.3,73.3,0.5,1.3,1.8,2.5,1.3,1.0,0.3,1.2,13.1,1,0,-1.8
Larry Hughes,GSW,22,50,13,37,36.9,16.5,6.2,16.1,38.3,0.3,1.5,18.7,3.9,5.0,76.6,1.5,4.0,5.5,4.5,3.0,1.9,0.6,2.9,34.2,6,0,-5.0
Larry Johnson,NYK,32,65,38,27,32.4,9.9,3.8,9.2,41.1,0.8,2.5,31.3,1.6,2.0,79.7,1.4,4.2,5.6,2.0,1.5,0.6,0.4,3.2,21.2,3,0,-0.3
Larry Robinson,ATL,33,34,12,22,18.6,5.9,2.0,5.4,36.4,1.3,3.4,37.9,0.6,0.7,87.5,0.7,1.9,2.6,1.1,0.7,0.8,0.1,1.4,12.4,0,0,-1.9
Latrell Sprewell,NYK,30,77,45,32,39.1,17.7,6.8,15.8,43.0,0.5,1.8,30.4,3.6,4.6,78.3,0.6,3.9,4.5,3.5,2.8,1.4,0.4,2.1,30.8,1,0,1.5
Lavor Postell,NYK,23,26,15,11,6.5,2.3,0.7,2.1,31.5,0.1,0.4,27.3,0.8,1.0,81.5,0.3,0.7,1.0,0.2,0.7,0.2,0.1,0.5,3.8,0,0,0.3
Lawrence Funderburke,SAC,30,59,42,17,11.8,4.9,2.0,4.1,49.6,0.0,0.0,0.0,0.8,1.3,62.3,1.3,2.1,3.3,0.3,0.5,0.2,0.2,0.7,9.9,1,0,0.1
Lee Nailon,CHH,26,42,23,19,11.1,3.9,1.6,3.2,48.5,0.0,0.0,0.0,0.8,1.0,74.4,0.7,1.5,2.2,0.6,0.6,0.2,0.1,1.4,7.7,0,0,0.7
Lindsey Hunter,MIL,30,82,52,30,24.4,10.1,3.6,9.5,38.1,1.9,5.0,37.3,0.9,1.2,80.2,0.4,1.7,2.1,2.7,0.8,1.2,0.1,2.1,19.9,0,0,2.4
Lorenzen Wright,ATL,25,71,23,48,28.0,12.4,5.1,11.4,44.8,0.0,0.0,0.0,2.2,3.0,71.8,2.5,5.0,7.5,1.2,1.8,0.6,0.9,3.3,26.0,22,0,-4.2
Loy Vaught,WAS,33,51,22,29,10.8,3.3,1.6,3.3,47.3,0.0,0.0,0.0,0.2,0.2,80.0,1.0,2.4,3.4,0.5,0.5,0.4,0.1,1.5,9.2,0,0,-0.9
Luc Longley,NYK,32,25,16,9,12.0,2.0,0.7,2.2,33.3,0.0,0.0,0.0,0.5,0.7,76.5,1.0,1.6,2.6,0.3,0.9,0.1,0.4,2.0,6.1,0,0,1.2
Lucious Harris,NJN,30,73,21,52,28.4,9.4,3.6,8.5,42.5,0.6,1.8,34.8,1.5,1.9,77.0,1.0,3.0,3.9,1.8,0.9,1.0,0.2,1.7,19.7,2,0,-2.6
Mahmoud Abdul-Rauf,VAN,32,41,11,30,11.8,6.5,2.9,6.0,48.8,0.1,0.3,28.6,0.5,0.7,75.9,0.1,0.5,0.6,1.9,0.6,0.2,0.0,1.2,10.1,0,0,-0.5
Malik Rose,SAS,26,57,40,17,21.4,7.7,2.8,6.5,43.5,0.1,0.3,17.6,2.0,2.8,71.3,1.7,3.7,5.4,0.8,1.3,1.0,0.7,2.6,19.3,7,0,3.0
Mamadou N'diaye,TOR,26,3,2,1,3.1,1.3,0.3,1.3,25.0,0.0,0.0,0.0,0.7,0.7,100,0.3,0.3,0.7,0.0,0.0,0.0,0.0,1.0,2.1,0,0,0.7
Marc Jackson,GSW,26,48,12,36,29.3,13.2,4.9,10.6,46.7,0.1,0.5,21.7,3.2,4.0,80.2,2.5,5.0,7.5,1.2,1.9,0.7,0.6,2.9,25.9,17,0,-5.1
Marcus Camby,NYK,27,63,38,25,33.8,12.0,4.8,9.2,52.4,0.0,0.1,12.5,2.4,3.6,66.7,3.1,8.4,11.5,0.8,1.0,1.0,2.2,3.3,35.7,25,0,1.0
Marcus Fizer,CHI,22,72,14,58,22.0,9.5,3.9,9.0,43.0,0.1,0.5,25.6,1.6,2.2,72.7,1.1,3.3,4.3,1.1,1.7,0.4,0.3,2.4,16.6,2,0,-5.6
