PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Randolph, Zach",MEM,73,38,35,24.5,17.7,39.4,44.9,5.0,14.3,35.2,9.4,12.7,74.1,4.6,15.9,20.5,10.1,7.0,3.5,2.7,1.9,11.2,10.9,49.8,-1.0
"Redick, JJ",LAC,78,50,28,28.2,22.6,50.5,44.7,5.7,15.7,36.4,9.7,12.5,77.7,6.1,18.6,24.6,13.7,7.8,3.9,1.7,2.5,14.0,10.6,60.6,-6.1
"Reed, Willie",MIA,71,39,32,14.5,11.2,25.4,44.2,2.2,6.5,33.6,5.7,7.1,80.3,3.2,10.4,13.6,5.6,4.5,2.0,1.4,1.7,6.0,6.4,30.4,-0.5
"Richardson, Josh",MIA,53,23,30,30.5,23.4,52.3,44.8,4.9,14.5,33.6,12.5,15.7,79.1,6.0,21.5,27.5,11.9,9.0,4.0,2.9,3.8,11.8,13.3,64.2,-0.1
"Richardson, Malachi",SAC,22,9,13,9.0,7.0,15.5,45.3,2.2,6.4,35.0,2.8,4.2,66.3,1.5,6.2,7.7,4.6,2.4,1.5,0.7,0.7,3.5,3.7,19.0,0.8
"Rivers, Austin",LAC,74,43,31,27.8,22.6,49.0,46.1,5.1,14.9,34.4,11.0,14.0,78.4,6.0,19.7,25.7,13.6,7.6,4.2,2.1,2.4,12.3,12.1,61.3,0.1
"Roberson, Andre",OKC,79,46,33,30.1,24.3,53.9,45.1,5.8,16.3,35.6,11.0,14.3,76.9,5.8,19.5,25.3,13.7,8.9,5.4,3.2,3.3,12.7,12.4,65.4,-1.8
"Roberts, Brian",CHA,41,16,25,10.2,7.8,17.3,45.1,2.4,7.0,34.7,3.1,4.0,78.2,1.7,7.5,9.2,4.9,2.7,1.3,1.0,0.6,4.0,3.5,21.2,1.4
"Robinson III, Glenn",IND,69,35,34,20.7,16.4,36.9,44.5,4.4,12.5,34.8,7.8,9.9,78.4,4.7,14.3,19.0,9.8,6.0,3.7,2.2,2.0,8.4,7.9,45.0,1.1
"Robinson, Thomas",LAL,48,15,33,11.7,9.9,20.1,49.3,2.8,6.8,41.8,4.2,5.8,72.5,2.3,7.8,10.1,6.0,3.8,2.0,1.5,0.8,4.8,4.9,26.8,1.7
"Rodriguez, Sergio",PHI,68,24,44,22.3,18.0,39.3,45.7,4.2,11.3,37.5,8.8,11.6,76.2,4.8,15.3,20.1,10.3,6.6,4.1,2.5,2.5,8.9,10.3,49.0,2.0
"Rondo, Rajon",CHI,69,34,35,26.7,22.6,48.4,46.7,5.0,13.8,36.4,7.6,9.9,76.4,6.0,17.9,23.9,13.8,7.6,4.2,2.3,2.7,10.0,9.8,57.8,0.9
"Rose, Derrick",NYK,64,26,38,32.5,27.6,60.2,45.9,6.8,19.0,35.7,12.6,16.2,78.1,8.1,22.3,30.3,15.6,7.9,4.9,3.0,3.6,11.9,13.2,74.7,2.6
"Ross, Terrence",ORL,24,8,16,31.2,27.5,57.5,47.8,6.6,17.2,38.3,11.2,14.3,78.1,6.3,23.3,29.6,16.6,8.3,4.7,3.3,2.9,11.7,12.3,72.8,1.4
"Ross, Terrence",TOR,54,31,23,22.3,17.6,38.9,45.2,4.5,12.9,35.2,9.2,11.6,79.0,5.1,15.5,20.6,10.1,7.2,2.7,2.1,2.4,9.9,10.3,48.9,-3.0
"Rozier, Terry",BOS,74,47,27,17.1,13.2,30.2,43.8,3.3,9.7,34.0,6.1,8.0,76.1,3.6,12.5,16.1,7.6,4.8,2.4,1.9,1.5,7.2,7.1,35.9,0.2
"Rubio, Ricky",MIN,75,28,47,32.9,27.3,57.4,47.5,7.0,18.6,37.6,11.4,14.7,77.5,6.9,21.0,27.9,16.2,9.3,5.2,3.4,2.9,14.4,12.6,72.9,0.1
"Rudez, Damjan",ORL,45,12,33,7.0,5.6,11.4,49.0,1.3,3.8,33.7,2.8,3.6,77.3,1.3,5.4,6.8,3.5,1.9,1.0,0.8,0.5,2.6,2.8,15.3,1.7
"Rush, Brandon",MIN,47,15,32,21.9,18.4,39.0,47.1,4.7,13.1,36.0,7.2,9.7,74.7,5.0,13.6,18.5,11.3,6.1,3.9,2.1,2.0,9.1,8.4,48.7,0.9
"Russell, D'Angelo",LAL,63,21,42,28.7,25.4,51.4,49.4,6.1,16.1,38.1,11.8,15.3,76.8,6.2,21.1,27.3,15.6,8.7,4.7,2.8,2.4,10.9,12.8,68.7,5.7
"Sabonis, Domantas",OKC,81,46,35,20.1,16.0,35.5,45.1,3.5,9.9,35.7,6.9,9.1,76.3,3.8,13.5,17.3,8.7,6.0,3.5,2.2,2.0,7.8,8.4,42.5,-0.2
"Sanders, Larry",CLE,5,2,3,2.5,1.8,4.2,42.9,0.4,1.4,28.6,1.2,2.2,54.5,0.4,0.8,1.2,1.0,0.4,1.4,0.4,0.2,0.4,1.6,5.2,0.2
"Saric, Dario",PHI,81,28,53,26.3,21.4,46.6,45.9,5.0,14.0,35.5,11.5,15.0,76.8,5.8,18.2,24.0,12.3,8.1,5.0,3.3,2.6,10.7,12.0,59.3,3.8
"Satoransky, Tomas",WAS,57,33,24,12.6,9.5,21.8,43.4,2.4,6.9,35.3,4.6,6.1,75.4,3.1,8.2,11.2,5.2,3.9,1.8,1.1,1.2,5.1,5.8,25.9,-0.2
"Schroder, Dennis",ATL,79,42,37,31.5,25.8,57.3,45.1,7.2,19.6,36.8,10.2,13.4,76.4,7.4,21.2,28.7,15.9,9.8,6.0,3.6,3.1,13.7,11.7,69.1,1.0
"Scola, Luis",BKN,36,7,29,12.8,11.4,23.8,48.0,2.7,7.6,35.3,4.9,6.3,78.0,2.7,9.6,12.3,6.5,3.6,2.4,1.4,0.8,5.2,5.9,30.4,2.3
"Scott, Mike",ATL,18,7,11,10.8,8.2,18.3,44.8,2.3,6.7,35.0,3.9,5.1,78.0,2.2,8.6,10.8,4.7,4.0,1.7,1.3,1.2,4.8,3.8,22.7,2.3
"Sefolosha, Thabo",ATL,62,32,30,25.7,20.7,46.0,44.9,5.8,16.0,36.4,8.4,10.9,77.1,5.4,17.4,22.9,12.4,8.4,4.7,2.9,2.4,10.9,9.5,55.5,1.0
"Selden, Wayne",MEM,11,4,7,17.2,13.3,29.9,44.4,3.5,9.5,36.5,5.8,8.2,71.1,4.6,11.7,16.4,6.8,4.3,2.5,1.1,1.9,6.5,6.8,35.8,3.5
