PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Curry, Stephen",GSW,22,14,8,846,28.3,63.9,44.2,10.3,28.0,36.8,15.4,19.0,81.2,7.4,22.6,30.0,16.5,11.4,5.7,2.9,4.3,16.8,17.3,82.3,-5.1
"Davis, Ed",BKN,3,1,2,41,24.7,71.5,34.6,2.6,22.1,12.0,21.2,30.0,70.6,15.0,22.1,37.1,13.2,7.1,4.4,7.9,1.8,13.2,20.3,73.2,-18.5
"DeRozan, DeMar",SAS,7,3,4,251,30.7,64.7,47.6,8.0,19.8,40.6,13.1,17.1,76.5,7.6,24.3,31.9,20.5,6.3,3.6,2.7,3.6,14.1,15.2,82.6,4.7
"Dinwiddie, Spencer",BKN,5,1,4,131,33.4,69.8,47.8,6.6,21.6,30.4,16.2,21.9,73.8,12.6,28.5,41.1,19.7,13.1,5.2,4.1,1.6,18.3,16.4,89.5,9.3
"Drummond, Andre",DET,4,0,4,127,36.7,65.6,56.0,10.7,25.7,41.8,15.3,20.1,76.1,6.8,34.5,41.3,24.3,9.3,4.2,7.3,2.5,12.7,18.9,99.5,27.1
"Dudley, Jared",BKN,4,1,3,82,27.6,64.8,42.6,5.7,22.3,25.5,16.2,21.5,75.5,10.1,28.9,39.0,15.3,15.3,7.0,4.8,2.2,18.4,16.2,77.0,-3.9
"Durant, Kevin",GSW,12,8,4,442,27.5,63.2,43.6,10.4,28.3,36.9,16.5,20.5,80.2,7.4,22.3,29.7,15.3,12.1,6.2,2.9,4.1,17.5,18.1,82.0,-6.9
"Ellington, Wayne",DET,4,0,4,131,34.3,66.9,51.2,9.9,25.8,38.3,17.8,23.3,76.5,7.4,32.4,39.8,22.2,9.6,4.9,6.9,3.0,16.2,19.7,96.3,22.8
"Embiid, Joel",PHI,11,6,5,334,24.7,64.9,38.0,6.9,24.4,28.2,12.7,16.6,76.6,7.8,21.4,29.2,12.7,9.6,5.7,2.4,5.2,18.1,14.4,68.9,-15.4
"Ennis III, James",PHI,11,7,4,232,28.4,63.5,44.7,7.1,23.9,29.9,18.3,22.1,83.1,6.5,23.0,29.5,16.3,8.4,5.4,3.0,3.7,18.0,19.3,82.3,1.1
"Evans, Jacob",GSW,7,5,2,18,28.7,88.1,32.6,6.1,26.6,23.1,4.1,6.1,66.7,22.5,26.6,49.2,18.4,6.1,10.2,4.1,6.1,16.4,4.1,67.6,-6.1
"Evans, Tyreke",IND,4,0,4,84,24.9,59.2,42.0,9.4,25.3,37.3,17.6,23.6,74.5,7.7,30.4,38.2,12.4,12.0,3.4,3.0,2.1,15.4,19.3,76.8,9.4
"Faried, Kenneth",HOU,6,4,2,56,21.1,59.6,35.5,7.0,28.8,24.4,17.3,25.0,69.2,7.0,28.8,35.9,14.1,10.9,3.8,4.5,3.8,19.9,18.6,66.6,-9.0
"Favors, Derrick",UTA,5,1,4,103,25.5,61.8,41.2,9.4,29.3,32.1,11.5,15.0,76.7,5.6,24.4,30.0,11.2,11.5,5.9,6.3,3.8,16.8,15.0,71.9,-1.4
"Felton, Raymond",OKC,5,1,4,57,22.2,57.1,38.9,5.7,19.0,30.0,9.5,11.4,83.3,5.1,27.3,32.4,7.0,14.6,5.1,1.9,5.1,20.9,18.4,59.6,-9.5
