PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Randell Jackson,WAS,23,27,10,17,268,15.3,6.2,14.5,42.6,0.1,0.9,14.3,2.8,4.3,65.6,4.0,3.2,7.2,1.1,3.5,0.4,1.5,3.9,27.7,0,0,-6.7
Randy Brown,CHI,31,39,10,29,1144,10.8,4.2,10.0,41.4,0.0,0.3,0.0,2.5,3.3,76.2,0.8,3.3,4.2,4.7,2.5,2.1,0.3,3.0,27.5,2,0,-7.6
Randy Livingston,PHX,24,1,1,0,22,19.4,8.1,12.9,62.5,0.0,0.0,0.0,3.2,3.2,100,0.0,3.2,3.2,4.9,1.6,3.2,0.0,1.6,38.6,0,0,9.7
Rashard Lewis,SEA,19,20,11,9,148,11.5,4.6,12.7,36.5,0.2,1.5,16.7,2.0,3.4,57.1,3.2,2.9,6.1,1.0,4.9,2.0,0.2,4.6,22.0,0,0,-12.7
Rasheed Wallace,POR,24,49,34,15,1414,16.0,6.2,12.1,50.8,0.3,0.8,41.9,3.3,4.6,73.2,1.5,4.7,6.1,1.5,2.0,1.2,1.4,4.5,31.4,4,0,7.6
Rasho Nesterovic,MIN,23,2,0,2,30,9.5,3.6,14.3,25.0,0.0,0.0,0.0,2.4,2.4,100,3.6,6.0,9.5,1.2,1.2,0.0,0.0,6.0,21.6,0,0,1.2
Ray Allen,MIL,23,50,28,22,1719,17.9,6.3,14.1,45.0,1.5,4.4,35.6,3.7,4.1,90.3,1.2,3.2,4.4,3.7,2.6,1.1,0.1,2.5,30.1,1,0,2.5
Reggie Jordan,MIN,31,27,14,13,293,6.3,1.8,6.6,27.8,0.0,0.0,0.0,2.6,4.7,55.3,3.3,3.9,7.2,5.0,1.7,1.5,0.6,4.7,27.0,0,0,1.0
Reggie Miller,IND,33,50,33,17,1788,18.5,5.9,13.5,43.8,2.1,5.5,38.5,4.5,5.0,91.5,0.5,2.2,2.7,2.3,1.5,0.7,0.2,2.0,26.4,1,0,3.8
Reggie Slater,TOR,28,30,9,21,266,15.6,4.2,11.0,38.3,0.0,0.0,0.0,7.2,11.5,62.4,4.9,4.6,9.5,0.7,3.4,0.4,0.4,6.8,27.0,0,0,-4.9
Rex Chapman,PHX,31,38,21,17,1183,14.0,5.0,14.0,35.9,1.6,4.6,35.1,2.3,2.8,83.5,0.4,2.8,3.2,3.3,1.6,1.0,0.3,1.4,25.0,0,0,3.0
Rex Walters,MIA,29,33,24,9,506,7.2,2.5,6.8,36.5,0.9,2.7,31.6,1.4,1.6,82.6,0.7,2.8,3.6,4.1,2.3,0.7,0.2,4.5,18.1,0,0,2.2
