PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Garrett Temple,LAC,33,6,2,4,63.0,11.3,6.0,10.5,14.3,21.2,14.9,17.9,8.3,14.0,12.7,6.1,11.1,27.3,20.0,0.0,27.6,23.1,9.1
Gary Clark,HOU,24,2,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Harris,DEN,24,14,7,7,517.0,15.8,17.5,16.9,20.8,19.3,15.1,14.0,6.8,13.5,11.7,12.6,10.8,19.7,16.7,17.8,17.8,12.8,17.3
George Hill,MIL,33,15,10,5,395.0,15.1,19.9,16.9,18.9,16.7,15.3,14.3,18.5,11.7,13.0,20.9,6.5,21.4,8.2,18.4,19.8,15.7,18.9
Georges Niang,UTA,26,5,1,4,55.0,18.3,20.5,21.6,36.4,31.7,0.0,0.0,0.0,30.4,26.4,15.2,18.2,12.5,16.7,12.5,18.5,0.0,18.0
Gerald Green,HOU,33,11,6,5,97.0,19.3,17.9,23.7,37.0,34.1,11.1,8.8,0.0,18.8,14.0,3.2,11.1,16.7,25.0,20.0,27.3,13.6,18.9
Giannis Antetokounmpo,MIL,24,15,10,5,514.0,31.0,31.1,28.0,13.1,13.3,46.1,51.2,33.3,33.1,33.2,27.4,36.5,23.4,44.1,36.7,20.6,47.9,31.9
Glenn Robinson III,DET,25,3,0,3,36.0,20.0,17.4,19.5,16.7,32.0,50.0,33.3,16.7,17.9,17.5,15.4,25.0,50.0,0.0,14.3,29.4,16.7,21.7
Gordon Hayward,BOS,29,9,5,4,267.0,14.6,15.0,14.9,14.1,12.9,16.2,12.9,6.3,15.3,13.7,19.3,17.9,19.4,17.6,11.5,13.4,12.9,15.2
Grayson Allen,UTA,23,2,0,2,14.0,27.8,25.0,25.9,0.0,30.0,100,77.8,0.0,11.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,80.0,40.9
Greg Monroe,PHI,29,10,6,4,90.0,21.1,22.2,23.4,6.7,7.8,29.2,29.0,63.6,27.4,36.9,8.0,11.8,27.8,30.0,50.0,25.6,16.1,21.9
Guerschon Yabusele,BOS,23,4,2,2,14.0,21.6,20.0,17.4,0.0,14.3,36.4,46.7,33.3,9.1,14.3,20.0,16.7,0.0,50.0,100,50.0,40.0,25.0
Iman Shumpert,HOU,29,8,4,4,109.0,11.6,10.9,13.3,21.1,21.0,2.1,6.6,4.2,15.5,12.6,5.0,8.1,5.6,0.0,20.0,20.4,7.4,10.7
Isaiah Hartenstein,HOU,21,2,1,1,2.0,25.0,100,28.6,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100
