PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Noah, Joakim",MEM,42,14,28,16.5,12.2,28.7,42.6,4.1,12.2,33.3,6.8,8.9,76.4,3.3,12.0,15.4,7.6,5.3,2.3,2.0,2.0,7.5,7.8,35.3,-0.1
"Noel, Nerlens",OKC,77,48,29,13.7,11.0,24.7,44.5,2.8,8.5,33.1,5.5,7.5,73.7,3.3,10.4,13.7,6.4,5.0,2.4,1.5,2.0,6.3,7.1,30.3,1.0
"Nowitzki, Dirk",DAL,51,17,34,15.6,13.3,29.1,45.7,4.0,11.6,34.4,5.3,6.5,81.4,3.1,11.9,15.0,8.3,3.5,2.1,1.3,1.2,6.6,6.4,35.8,1.3
"Ntilikina, Frank",NYK,43,9,34,21.0,17.8,38.3,46.5,5.0,13.9,35.8,9.0,11.6,77.7,4.9,16.5,21.4,10.6,6.5,3.0,2.3,2.3,9.1,10.6,49.6,4.3
"Nunnally, James",MIN,13,7,6,4.9,4.7,9.2,50.8,1.2,2.8,40.5,2.0,2.8,70.3,1.5,4.1,5.6,3.0,1.3,0.5,0.3,0.2,1.5,2.2,12.5,1.2
"Nunnally, James",HOU,2,1,1,18.7,20.0,34.0,58.8,4.5,9.0,50.0,7.0,9.0,77.8,3.0,14.0,17.0,9.5,4.5,2.0,0.5,2.0,7.0,12.0,51.5,4.5
"Nurkic, Jusuf",POR,72,45,27,27.4,23.1,50.9,45.3,5.8,15.8,36.9,9.9,12.8,77.6,5.4,18.1,23.5,13.1,7.5,3.9,2.9,3.2,11.9,11.5,61.8,-5.9
"Nwaba, David",CLE,51,14,37,19.3,16.8,34.3,49.0,5.1,13.2,38.5,5.6,7.7,73.1,3.9,13.3,17.2,10.0,5.7,2.8,2.8,1.1,7.6,7.8,44.3,1.5
"O'Neale, Royce",UTA,82,50,32,20.4,16.3,37.1,44.0,3.8,11.5,33.5,7.7,10.4,74.7,3.7,14.2,17.9,8.7,5.8,3.6,1.9,2.6,9.2,9.3,44.3,-2.1
"O'Quinn, Kyle",IND,45,27,18,8.2,6.6,15.3,43.3,1.8,5.7,31.6,4.0,5.1,78.1,1.9,5.6,7.5,3.9,2.1,1.3,0.9,1.0,3.1,3.9,19.0,-0.1
"Ojeleye, Semi",BOS,56,39,17,10.6,8.2,19.6,42.1,2.3,7.6,29.6,3.9,5.2,75.3,2.4,7.8,10.1,4.7,3.3,1.4,0.9,1.2,4.4,4.6,22.6,-1.3
"Okafor, Jahlil",NOP,59,23,36,15.8,14.2,30.5,46.6,4.2,10.9,38.5,5.6,7.0,79.3,3.6,11.7,15.3,9.0,4.1,2.7,1.7,1.8,5.9,6.2,38.3,2.0
"Okobo, Elie",PHX,53,7,46,18.1,15.7,32.2,48.6,3.9,10.3,38.1,7.2,9.7,73.9,4.4,13.3,17.7,9.5,5.9,3.2,1.9,1.8,7.8,8.8,42.4,4.0
"Okogie, Josh",MIN,74,32,42,23.7,21.2,44.4,47.8,6.3,16.2,38.6,8.3,11.1,74.8,5.2,17.2,22.4,13.1,7.6,3.4,2.8,2.3,11.3,10.2,56.9,0.7
"Oladipo, Victor",IND,36,25,11,31.9,24.9,56.3,44.2,8.6,22.9,37.3,9.9,12.5,78.9,6.9,22.2,29.2,15.8,11.3,4.6,3.9,3.4,13.1,11.5,68.2,-3.5
"Olynyk, Kelly",MIA,79,39,40,22.9,18.2,40.9,44.4,6.1,16.3,37.1,7.8,10.3,75.6,4.9,16.0,20.9,10.9,7.3,3.5,2.2,2.4,10.0,9.6,50.2,-1.3
"Osman, Cedi",CLE,76,17,59,32.2,29.5,58.5,50.4,8.4,21.1,39.5,10.7,13.8,77.4,6.5,23.2,29.7,17.9,8.2,4.5,3.6,1.5,12.8,13.0,78.0,8.4
"Oubre Jr., Kelly",WAS,29,11,18,26.0,22.9,48.6,47.1,6.6,17.7,37.0,11.9,15.1,78.7,6.9,20.1,27.0,14.2,9.2,4.0,3.0,3.3,12.8,12.9,64.1,4.5
"Oubre Jr., Kelly",PHX,40,10,30,29.5,25.9,54.4,47.7,7.2,19.4,37.3,13.4,18.2,73.5,7.6,21.1,28.7,16.3,10.0,5.5,3.3,3.6,14.3,14.9,72.4,3.6
"Pachulia, Zaza",DET,67,35,32,13.0,10.7,23.1,46.3,2.5,7.2,34.7,4.7,6.4,74.0,2.4,9.7,12.2,6.3,3.6,1.8,1.4,0.8,6.1,6.6,28.7,1.3
"Parker, Jabari",WAS,25,10,15,27.3,24.4,52.0,47.0,6.3,18.7,33.6,9.9,12.4,79.4,6.7,19.3,26.0,14.5,8.1,4.5,2.8,2.8,11.6,11.5,65.0,-0.8
"Parker, Jabari",CHI,39,8,31,26.7,23.5,50.2,46.8,7.1,19.3,36.8,8.9,11.9,74.4,6.0,20.3,26.4,14.3,7.7,4.7,3.7,2.7,10.0,11.6,62.9,5.7
"Parker, Tony",CHA,56,30,26,17.9,15.2,32.7,46.6,3.8,11.2,33.4,6.3,8.3,76.3,3.7,12.9,16.5,8.8,5.1,2.6,2.2,2.1,8.1,7.6,40.5,-0.3
"Parsons, Chandler",MEM,25,11,14,19.8,15.6,35.4,44.2,4.6,14.2,32.1,8.1,10.3,78.3,4.1,14.9,19.0,9.0,5.6,3.1,2.2,2.0,8.8,8.8,43.9,1.8
"Patterson, Patrick",OKC,63,40,23,13.7,11.9,25.6,46.5,3.0,8.5,35.1,5.4,7.2,74.7,3.4,10.1,13.5,7.0,4.6,2.5,1.5,1.7,6.4,6.6,32.1,1.7
"Patton, Justin",PHI,3,2,1,6.9,5.7,12.7,44.7,2.0,6.0,33.3,1.7,2.7,62.5,2.0,6.7,8.7,3.7,2.3,0.3,0.3,0.3,2.7,2.0,15.0,1.0
"Paul, Chris",HOU,58,39,19,32.0,26.1,56.4,46.4,6.8,20.0,33.8,10.8,14.5,74.6,6.8,22.8,29.7,15.4,10.7,4.9,2.7,3.0,12.6,14.0,69.9,-5.2
"Payne, Cameron",CLE,9,1,8,19.6,17.1,35.3,48.4,5.9,14.2,41.4,8.4,9.8,86.4,4.4,13.3,17.8,11.1,5.8,2.1,0.8,1.7,9.0,9.2,48.6,0.7
"Payne, Cameron",CHI,31,6,25,17.3,15.0,32.0,46.9,4.7,12.0,38.9,7.1,8.2,87.0,3.9,13.6,17.5,9.3,5.2,3.1,2.5,2.0,6.7,7.4,41.8,7.0
"Payton II, Gary",WAS,3,2,1,5.3,3.7,8.3,44.0,2.0,5.3,37.5,2.3,5.3,43.8,1.0,3.7,4.7,2.7,2.7,0.3,0.3,0.3,2.7,3.3,11.7,-3.7
"Payton, Elfrid",NOP,42,18,24,29.8,28.2,58.5,48.2,8.1,21.0,38.7,9.9,12.6,78.1,6.8,21.6,28.4,17.7,8.8,5.1,3.6,3.3,12.6,11.6,74.4,1.6
"Pinson, Theo",BKN,18,7,11,11.7,9.2,22.7,40.4,2.4,9.3,25.7,3.1,4.3,71.4,2.6,9.4,12.1,5.4,3.3,1.9,1.4,0.7,4.8,4.3,23.8,0.1
"Plumlee, Mason",DEN,82,54,28,21.1,17.1,38.1,44.9,4.9,14.4,34.0,7.6,9.7,77.7,4.7,14.2,18.9,10.5,6.0,3.1,2.2,2.1,8.9,9.3,46.7,-0.9
"Plumlee, Miles",ATL,18,1,17,9.6,8.3,16.7,49.8,2.6,6.5,40.2,4.9,6.2,79.3,2.0,7.1,9.1,5.4,3.3,1.8,0.8,0.6,5.6,4.4,24.2,2.4
"Poeltl, Jakob",SAS,77,43,34,16.5,14.1,30.8,45.8,3.9,11.5,34.3,4.8,6.4,75.2,3.2,11.8,15.0,8.3,4.5,2.6,1.4,1.6,6.4,5.6,37.0,-1.1
"Pondexter, Quincy",SAS,53,29,24,5.5,4.6,10.2,45.3,1.3,4.1,31.2,1.4,1.9,73.8,1.1,3.7,4.8,3.1,1.4,1.0,0.6,0.6,2.4,1.9,11.9,0.3
"Porter Jr., Otto",WAS,41,18,23,29.1,25.4,53.5,47.5,7.5,19.6,38.1,11.5,14.3,80.4,6.9,22.0,28.9,15.6,10.7,4.7,2.5,3.1,12.8,12.5,69.8,0.7
"Porter Jr., Otto",CHI,15,7,8,32.8,30.3,60.4,50.1,7.9,21.1,37.3,10.2,13.3,76.5,5.1,22.5,27.5,18.3,9.3,5.0,3.3,2.6,13.4,12.5,78.6,-0.4
"Portis, Bobby",WAS,28,10,18,27.4,25.0,51.6,48.4,6.4,18.2,35.1,9.4,12.4,76.0,6.2,20.1,26.3,15.4,7.8,4.0,2.5,2.1,11.8,11.5,65.8,-0.5
"Portis, Bobby",CHI,22,4,18,24.1,20.6,42.6,48.3,6.5,16.8,38.9,11.4,14.0,81.2,5.0,16.7,21.8,13.4,6.9,3.8,2.0,2.1,9.4,12.0,59.1,5.6
"Powell, Dwight",DAL,77,31,46,21.6,18.3,39.2,46.8,5.4,14.9,36.5,7.9,10.0,79.1,4.2,15.1,19.3,11.2,5.9,3.1,1.8,1.9,10.7,9.7,50.0,-0.2
"Powell, Norman",TOR,60,45,15,18.8,15.6,34.3,45.5,4.1,11.3,35.8,7.4,10.2,72.5,4.1,14.2,18.3,9.0,6.0,2.8,1.8,2.2,7.6,9.3,42.6,-0.3
"Poythress, Alex",ATL,21,7,14,14.5,13.1,26.9,48.8,3.3,8.1,40.9,6.5,9.0,72.0,2.8,10.8,13.6,7.9,4.8,2.4,1.7,2.1,7.0,7.3,36.0,3.6
"Prince, Taurean",ATL,55,19,36,28.2,26.1,53.8,48.5,7.6,20.4,37.4,12.4,15.7,78.7,6.4,20.7,27.1,16.6,8.5,5.8,3.0,3.0,13.0,13.5,72.1,4.4
"Rabb, Ivan",MEM,49,20,29,14.7,12.0,25.5,47.3,3.8,10.2,37.3,5.2,6.6,78.4,2.8,10.1,12.9,7.6,4.5,2.8,1.3,1.3,6.7,5.8,33.1,1.9
"Randle, Chasson",WAS,49,19,30,15.2,13.5,27.9,48.5,3.8,10.2,36.8,5.7,7.1,80.2,3.2,11.3,14.5,8.3,4.9,2.4,1.6,1.4,6.3,6.4,36.5,2.2
"Randle, Julius",NOP,73,31,42,30.6,27.2,58.3,46.6,7.7,21.7,35.6,12.1,15.6,77.9,7.0,21.3,28.3,16.6,8.6,5.3,3.6,3.2,14.1,14.0,74.1,0.2
"Redick, JJ",PHI,76,49,27,31.3,26.7,60.2,44.3,6.6,20.1,33.1,11.7,15.4,75.9,6.9,21.8,28.8,14.7,8.1,5.1,2.6,3.7,15.3,13.5,71.7,-4.0
"Reed, Davon",IND,10,4,6,4.7,3.4,8.6,39.5,1.4,3.9,35.9,2.2,2.8,78.6,1.2,4.2,5.4,2.1,2.0,0.6,0.5,0.6,1.0,1.8,10.4,-1.9
"Reynolds, Cameron",MIN,19,6,13,13.7,11.8,24.9,47.4,4.0,10.6,37.6,4.8,6.3,76.5,2.9,10.5,13.4,7.6,3.9,2.3,1.3,1.2,5.9,6.1,32.4,1.4
"Richardson, Josh",MIA,73,35,38,34.8,27.5,62.4,44.1,8.5,24.0,35.6,12.5,16.3,76.6,7.1,24.3,31.4,16.8,10.3,5.4,3.6,4.0,14.9,15.1,76.0,-0.9
"Richardson, Malachi",TOR,22,16,6,4.7,3.8,8.8,43.3,0.8,2.5,32.7,2.0,3.2,61.4,1.1,3.5,4.6,2.1,1.4,1.3,0.7,0.9,2.0,2.5,10.4,0.5
