PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Landry Shamet,LAC,22,6,2,4,29.0,18.4,81.6,13.0,0.0,65.2,19.6,21.7,13.0,13.0,66.7,33.3,100,0.0,92.3,7.7
Langston Galloway,DET,27,4,0,4,27.5,26.5,73.5,12.9,12.9,87.1,9.7,0.0,0.0,0.0,0.0,100,100,0.0,81.8,18.2
Lonnie Walker IV,SAS,20,6,3,3,3.5,87.5,12.5,100,33.3,0.0,0.0,0.0,0.0,66.7,33.3,66.7,0.0,0.0,33.3,66.7
Lou Williams,LAC,32,6,2,4,29.4,82.7,17.3,60.0,23.1,13.8,16.9,26.2,23.1,36.9,20.5,79.5,66.7,33.3,26.7,73.3
Luke Kennard,DET,23,4,0,4,33.2,68.1,31.9,46.7,33.3,45.0,25.0,8.3,31.7,13.3,71.4,28.6,100,0.0,82.6,17.4
Malcolm Brogdon,MIL,26,7,3,4,28.3,52.6,47.4,46.2,4.4,46.2,25.3,7.7,12.1,41.8,57.1,42.9,100,0.0,74.3,25.7
Malcolm Miller,TOR,26,10,7,3,2.8,25.0,75.0,25.0,0.0,37.5,25.0,37.5,37.5,25.0,100,0.0,100,0.0,100,0.0
Malik Beasley,DEN,22,14,7,7,20.1,49.5,50.5,30.1,7.1,50.4,16.8,19.5,8.8,23.0,64.7,35.3,78.9,21.1,72.2,27.8
Marc Gasol,TOR,34,24,16,8,30.6,50.6,49.4,37.2,9.7,45.1,5.3,17.7,19.5,27.4,88.1,11.9,97.1,2.9,92.1,7.9
Marco Belinelli,SAS,33,7,3,4,18.8,44.7,55.3,29.3,14.6,58.5,14.6,12.2,12.2,14.6,50.0,50.0,100,0.0,78.6,21.4
