PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
John Collins,ATL,21,61,24,37,1828.0,23.0,28.1,23.7,11.0,11.4,31.2,31.6,45.4,28.7,33.2,11.7,18.1,7.1,22.0,32.8,23.2,28.4,26.7
John Henson,CLE,28,14,10,4,188.0,17.3,19.3,18.3,18.6,17.9,8.3,10.3,37.2,32.2,33.2,13.6,20.0,29.2,47.8,6.3,19.3,12.3,17.4
John Holland,CLE,30,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Jenkins,NYK,28,26,8,18,333.0,16.0,16.7,18.5,28.2,26.0,13.0,11.3,14.6,12.0,12.3,14.5,9.7,0.0,3.5,12.9,8.1,10.7,17.4
John Wall,WAS,28,32,11,21,1104.0,28.6,25.6,27.1,20.9,22.6,30.6,32.5,8.2,14.0,12.9,50.3,37.3,24.5,21.6,35.0,14.2,26.7,25.9
Johnathan Motley,LAC,24,22,12,10,156.0,26.6,31.5,26.5,0.0,4.8,33.8,36.7,54.5,29.7,35.4,14.7,28.6,17.2,23.1,15.4,31.4,29.3,30.1
Johnathan Williams,LAL,24,24,10,14,372.0,15.8,20.2,15.5,0.0,0.8,18.9,25.1,45.7,19.4,26.9,6.6,15.7,13.3,20.6,22.4,37.6,26.8,18.1
Jon Leuer,DET,30,41,16,25,402.0,15.7,22.1,15.8,1.3,4.1,19.5,18.6,37.0,25.0,27.5,7.2,18.9,19.4,20.0,17.1,30.3,20.6,19.8
Jonah Bolden,PHI,23,44,24,20,639.0,13.1,14.5,13.5,23.9,22.4,5.1,7.8,28.5,24.3,25.3,10.8,17.6,16.0,43.3,11.3,33.1,8.1,13.8
Jonas Jerebko,GSW,32,73,52,21,1218.0,14.4,15.3,15.4,22.0,21.7,15.7,15.2,23.2,24.2,23.9,14.3,12.2,16.6,11.4,15.1,24.4,14.5,16.1
