PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Terry Dehere,SAC,26,77,26,51,18.3,6.4,2.3,5.9,39.9,0.6,1.7,37.9,1.0,1.3,79.8,0.3,1.1,1.4,2.5,1.2,0.7,0.1,1.9,12.8,0,0,-2.8
Terry Mills,MIA,30,50,31,19,15.6,4.2,1.6,4.1,39.3,0.5,1.6,30.9,0.5,0.7,75.8,0.7,2.4,3.0,0.8,0.9,0.4,0.2,2.6,9.8,1,0,0.6
Terry Porter,MIN,35,82,45,37,21.8,9.5,3.2,7.0,44.9,1.1,2.8,39.5,2.0,2.4,85.6,0.5,1.6,2.0,3.3,1.3,0.8,0.2,1.3,18.5,2,0,1.5
Theo Ratliff,PHI,25,82,35,47,29.9,9.9,3.7,7.3,51.3,0.0,0.0,0.0,2.4,3.4,70.1,2.7,4.0,6.7,0.7,1.4,0.6,3.1,3.6,28.8,13,0,-0.2
Tim Breaux,MIL,27,6,4,2,4.8,1.7,0.7,1.8,36.4,0.2,0.5,33.3,0.2,0.3,50.0,0.0,0.3,0.3,0.3,0.2,0.3,0.2,0.2,3.9,0,0,0.0
Tim Duncan,SAS,22,82,56,26,39.1,21.1,8.6,15.7,54.9,0.0,0.1,0.0,3.9,5.9,66.2,3.3,8.6,11.9,2.7,3.4,0.7,2.5,3.1,45.7,57,0,5.2
Tim Hardaway,MIA,31,81,55,26,37.4,18.9,6.9,16.0,43.1,1.9,5.5,35.1,3.2,4.1,78.1,0.6,3.1,3.7,8.3,2.8,1.7,0.2,2.5,38.6,35,0,5.6
Tim Kempton,TOR,34,8,3,5,5.7,0.5,0.3,1.1,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.8,0.4,0.5,0.1,0.3,1.3,2.6,0,0,-1.9
Tim Legler,WAS,31,8,4,4,9.5,1.1,0.4,2.4,15.8,0.0,0.8,0.0,0.4,0.5,75.0,0.3,0.3,0.5,0.4,0.5,0.1,0.0,1.4,2.2,0,0,0.0
Tim Thomas,PHI,21,77,27,50,23.1,11.0,4.0,8.9,44.7,0.8,2.2,36.3,2.2,3.0,74.0,1.4,2.4,3.7,1.2,1.5,0.7,0.2,2.4,18.4,0,0,-1.3
Todd Day,MIA,28,5,3,2,14.0,6.0,2.2,6.2,35.5,0.4,2.4,16.7,1.2,1.8,66.7,0.8,0.4,1.2,1.4,0.6,1.4,0.0,2.0,13.1,0,0,3.0
Todd Fuller,GSW,23,57,12,45,10.8,4.0,1.5,3.6,42.0,0.0,0.1,0.0,1.0,1.4,68.8,1.1,2.4,3.4,0.2,0.6,0.1,0.3,1.6,8.9,4,0,-0.7
Tom Chambers,PHI,39,1,0,1,9.7,6.0,2.0,2.0,100,0.0,0.0,0.0,2.0,2.0,100,0.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,13.4,0,0,-2.0
Tom Gugliotta,MIN,28,41,24,17,38.5,20.1,7.8,15.5,50.2,0.0,0.4,11.8,4.5,5.4,82.1,2.6,6.1,8.7,4.1,2.7,1.5,0.5,2.5,40.0,17,0,2.0
Tom Hammonds,MIN,31,57,29,28,20.0,6.1,2.2,4.3,51.6,0.0,0.0,0.0,1.6,2.3,69.7,1.8,3.0,4.8,0.6,0.8,0.3,0.3,2.2,13.6,2,0,-1.1
Toni Kukoc,CHI,29,74,57,17,30.2,13.3,5.2,11.4,45.5,0.9,2.4,36.2,2.1,3.0,70.8,1.6,2.8,4.4,4.2,2.1,1.0,0.5,2.0,27.4,5,0,6.4
Tony Battie,DEN,22,65,8,57,23.2,8.4,3.6,8.1,44.6,0.0,0.2,21.4,1.1,1.6,70.2,2.1,3.3,5.4,0.9,1.5,0.8,1.1,3.1,20.4,4,0,-7.3
Tony Delk,GSW,24,77,19,58,21.8,10.1,4.1,10.4,39.3,0.5,2.0,26.8,1.4,2.0,73.5,0.5,1.7,2.2,2.2,1.4,0.9,0.2,1.2,18.1,2,0,-4.1
Tony Dumas,CLE,25,7,4,3,6.5,2.0,0.9,1.7,50.0,0.3,0.6,50.0,0.0,0.4,0.0,0.1,0.6,0.7,0.7,0.7,0.0,0.0,0.7,3.2,0,0,0.0
Tony Farmer,CHH,28,27,16,11,6.2,2.5,0.6,2.0,32.1,0.1,0.3,22.2,1.1,1.4,79.5,0.6,0.6,1.2,0.2,0.3,0.4,0.1,0.9,5.4,0,0,-0.6
Tony Massenburg,VAN,30,61,14,47,14.7,6.5,2.4,5.1,47.9,0.0,0.0,0.0,1.6,2.2,73.0,1.3,2.5,3.8,0.3,1.0,0.4,0.4,2.0,13.0,4,0,-3.5
Tony Smith,MIL,30,7,2,5,11.3,2.7,1.1,3.4,33.3,0.0,0.6,0.0,0.4,0.6,75.0,0.6,0.4,1.0,1.4,1.3,0.7,0.3,1.0,7.8,0,0,-2.7
Tracy McGrady,TOR,19,64,13,51,18.4,7.0,2.8,6.2,45.0,0.2,0.6,34.1,1.2,1.7,71.2,1.6,2.6,4.2,1.5,1.0,0.8,1.0,1.3,18.5,3,0,-3.6
