PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Reggie Jackson,DET,27,52,23,29,27.4,72.8,27.2,58.0,20.5,26.3,7.4,15.7,14.6,37.5,7.3,92.7,45.5,54.5,16.2,83.8
Reggie Williams,NOP,30,6,1,5,13.2,52.2,47.8,22.2,7.4,55.6,11.1,22.2,7.4,14.8,33.3,66.7,80.0,20.0,62.5,37.5
Richard Jefferson,CLE,37,79,50,29,20.4,45.8,54.2,40.6,2.7,41.5,10.3,17.9,15.4,37.9,74.7,25.3,98.4,1.6,84.3,15.7
Richaun Holmes,PHI,23,57,16,41,20.9,81.3,18.7,72.6,8.2,14.5,10.7,12.9,13.4,64.4,79.8,20.2,100,0.0,82.2,17.8
Ricky Rubio,MIN,26,75,28,47,32.9,69.8,30.2,48.1,28.7,21.5,12.6,30.4,16.1,19.4,26.9,73.1,95.0,5.0,42.5,57.5
Robert Covington,PHI,26,67,27,40,31.6,43.7,56.3,35.9,3.0,47.6,19.1,16.6,20.6,32.9,65.2,34.8,94.2,5.8,78.8,21.2
Robin Lopez,CHI,29,81,40,41,28.0,99.7,0.3,91.1,29.6,0.0,2.9,8.9,9.3,61.5,68.1,31.9,0.0,0.0,68.1,31.9
Rodney Hood,UTA,24,59,40,19,27.0,53.9,46.1,42.2,17.4,45.7,6.3,12.0,11.4,24.9,29.1,70.9,74.6,25.4,48.2,51.8
Rodney McGruder,MIA,25,78,40,38,25.2,52.2,47.8,47.1,5.6,44.1,14.9,8.9,17.9,41.4,47.0,53.0,98.6,1.4,66.8,33.2
Rodney Stuckey,IND,31,39,17,22,17.9,75.4,24.6,51.2,23.5,20.3,15.3,28.5,11.4,27.8,18.1,81.9,78.9,21.1,30.8,69.2
Ron Baker,NYK,24,52,14,38,16.5,60.4,39.6,54.9,14.9,32.1,22.3,13.0,11.6,40.0,37.3,62.7,87.0,13.0,51.2,48.8
Rondae Hollis-Jefferson,BKN,22,78,19,59,22.6,87.6,12.4,65.2,10.7,6.7,21.5,28.1,17.0,54.5,51.8,48.2,93.3,6.7,54.5,45.5
Ronnie Price,PHX,34,14,4,10,9.6,29.2,70.8,14.3,14.3,64.3,14.3,21.4,14.3,0.0,0.0,100,66.7,33.3,50.0,50.0
Roy Hibbert,DEN,30,48,24,24,14.2,100,0.0,72.4,17.2,0.0,4.1,27.6,10.0,55.2,65.0,35.0,0.0,0.0,65.0,35.0
Rudy Gay,SAC,30,30,11,19,33.8,74.4,25.6,56.6,14.9,22.4,12.5,21.0,24.0,41.6,39.6,60.4,88.1,11.9,49.8,50.2
Rudy Gobert,UTA,25,81,51,30,33.9,99.8,0.2,72.6,0.4,0.0,7.2,27.4,13.8,72.3,74.1,25.9,0.0,0.0,74.1,25.9
Russell Westbrook,OKC,28,81,46,35,34.6,70.0,30.0,48.8,16.9,23.5,21.1,27.8,14.9,31.9,13.6,86.4,35.0,65.0,18.8,81.2
Ryan Anderson,HOU,29,72,50,22,29.4,34.5,65.5,24.3,6.5,62.5,7.3,13.2,11.7,17.8,37.8,62.2,97.5,2.5,75.5,24.5
Ryan Kelly,ATL,26,16,6,10,6.9,64.3,35.7,32.0,16.0,48.0,0.0,20.0,12.0,16.0,100,0.0,100,0.0,100,0.0
Salah Mejri,DAL,31,73,29,44,12.4,97.8,2.2,81.7,3.8,1.4,2.3,16.9,9.9,77.9,70.1,29.9,100,0.0,70.5,29.5
Sam Dekker,HOU,23,77,52,25,18.4,56.4,43.6,56.7,2.8,35.7,25.2,7.5,19.0,54.0,72.7,27.3,96.7,3.3,79.8,20.2
Sasha Vujacic,NYK,33,42,14,28,9.7,45.6,54.4,30.6,25.8,55.6,13.7,13.7,13.7,4.8,57.9,42.1,69.6,30.4,64.3,35.7
Sean Kilpatrick,BKN,27,70,14,56,25.1,58.1,41.9,43.5,8.5,34.3,18.3,22.2,12.1,35.0,43.5,56.5,75.2,24.8,54.4,45.6
Semaj Christon,OKC,24,64,36,28,15.2,71.7,28.3,71.0,19.7,19.7,6.6,9.3,12.0,51.4,30.8,69.2,83.3,16.7,39.0,61.0
Serge Ibaka,TOR,27,79,37,42,30.7,67.7,32.3,59.2,24.7,31.7,9.5,9.1,14.8,34.4,66.6,33.4,98.4,1.6,74.9,25.1
Sergio Rodriguez,PHI,31,68,24,44,22.3,53.0,47.0,44.5,17.4,52.1,12.6,3.4,17.4,27.2,19.5,80.5,56.5,43.5,35.7,64.3
Seth Curry,DAL,26,70,30,40,29.0,54.2,45.8,44.8,18.3,45.8,9.2,9.5,18.4,26.5,22.9,77.1,74.5,25.5,43.8,56.2
Shabazz Muhammad,MIN,24,78,29,49,19.4,75.8,24.2,61.9,8.0,19.0,23.7,19.0,19.7,53.9,67.4,32.6,98.0,2.0,72.6,27.4
Shabazz Napier,POR,25,53,26,27,9.7,49.7,50.3,35.8,17.4,46.8,15.1,17.4,20.6,18.3,12.8,87.2,64.7,35.3,37.0,63.0
Shaun Livingston,GSW,31,76,63,13,17.7,99.1,0.9,88.4,35.0,0.8,14.1,10.8,17.0,53.5,51.2,48.8,100,0.0,51.4,48.6
Shawn Long,PHI,24,18,5,13,13.0,82.6,17.4,73.0,4.1,14.2,4.1,12.8,15.5,68.9,50.0,50.0,100,0.0,55.7,44.3
Sheldon Mac,WAS,24,30,17,13,9.6,60.0,40.0,51.1,22.2,23.3,13.3,25.6,16.7,28.9,43.5,56.5,85.7,14.3,53.3,46.7
Shelvin Mack,UTA,27,55,34,21,21.9,68.5,31.5,61.9,14.0,25.8,8.1,12.3,15.3,47.9,31.6,68.4,64.9,35.1,38.8,61.2
Skal Labissiere,SAC,21,33,9,24,18.5,96.3,3.7,78.9,24.9,3.1,6.9,18.0,14.2,54.0,60.5,39.5,100,0.0,61.5,38.5
Solomon Hill,NOP,26,80,34,46,29.7,43.5,56.5,31.6,3.2,50.1,20.1,18.3,12.3,28.4,34.8,65.2,100,0.0,68.3,31.7
Spencer Dinwiddie,BKN,24,59,13,46,22.6,66.6,33.4,44.4,13.4,26.4,12.5,29.2,20.6,31.0,21.9,78.1,57.9,42.1,32.1,67.9
Spencer Hawes,MIL,29,54,27,27,14.8,70.8,29.2,64.7,11.3,22.3,5.9,13.1,8.0,53.4,81.7,18.3,100,0.0,85.1,14.9
Stanley Johnson,DET,21,77,35,42,17.8,57.8,42.2,49.6,22.4,39.8,12.7,10.6,13.6,27.1,34.5,65.5,93.3,6.7,55.0,45.0
Stephen Curry,GSW,29,79,65,14,33.4,45.3,54.7,35.1,10.0,48.6,23.9,16.3,17.3,25.1,41.3,58.7,64.2,35.8,52.3,47.7
Stephen Zimmerman,ORL,20,19,8,11,5.7,100,0.0,87.0,17.4,0.0,0.0,13.0,17.4,69.6,60.0,40.0,0.0,0.0,60.0,40.0
Steve Novak,MIL,34,8,6,2,2.7,14.3,85.7,40.0,0.0,60.0,0.0,0.0,0.0,40.0,100,0.0,100,0.0,100,0.0
Steven Adams,OKC,23,80,47,33,29.9,99.8,0.2,82.7,0.7,0.0,8.8,17.3,10.7,82.0,66.8,33.2,0.0,0.0,66.8,33.2
T.J. McConnell,PHI,25,81,27,54,26.3,89.3,10.7,80.9,17.6,5.9,11.9,13.1,17.1,63.3,24.4,75.6,90.9,9.1,27.5,72.5
